Confounder,SMD_Pre,SMD_Post,Abs_SMD_Pre,Abs_SMD_Post,SMD_Improvement,Imbalanced_Pre,Balanced_Post,N_Control,N_Treated
state_New York,-0.14236186970319203,-0.000553187135250329,0.14236186970319203,0.000553187135250329,0.1418086825679417,True,True,3185,972
state_West Virginia,0.1387940763917877,0.057569262979915256,0.1387940763917877,0.057569262979915256,0.08122481341187245,True,True,3185,972
state_Iowa,-0.13708571867561076,-0.044062346661519015,0.13708571867561076,0.044062346661519015,0.09302337201409175,True,True,3185,972
state_Virginia,-0.1361895118880602,-0.0786760500572064,0.1361895118880602,0.0786760500572064,0.05751346183085379,True,True,3185,972
state_Colorado,0.13137904169639059,0.02066943590017182,0.13137904169639059,0.02066943590017182,0.11070960579621877,True,True,3185,972
state_Hawaii,0.1279902825654455,0.019521223451398992,0.1279902825654455,0.019521223451398992,0.10846905911404651,True,True,3185,972
state_California,0.12586270620588097,0.020767929421498348,0.12586270620588097,0.020767929421498348,0.10509477678438262,True,True,3185,972
state_Massachusetts,-0.1255691355817058,-0.037896346128328345,0.1255691355817058,0.037896346128328345,0.08767278945337745,True,True,3185,972
state_Oregon,-0.125393229650814,-0.05892775839691941,0.125393229650814,0.05892775839691941,0.0664654712538946,True,True,3185,972
is_hbcu,-0.12276169002955906,0.10919491378341338,0.12276169002955906,0.10919491378341338,0.013566776246145676,True,False,3185,972
state_Texas,0.11567806743225316,0.07477009520384548,0.11567806743225316,0.07477009520384548,0.04090797222840768,True,True,3185,972
state_Alaska,0.11028500128827742,0.007472854027180185,0.11028500128827742,0.007472854027180185,0.10281214726109723,True,True,3185,972
state_Oklahoma,0.10472920145217167,0.03526449529355507,0.10472920145217167,0.03526449529355507,0.06946470615861661,True,True,3185,972
state_Arkansas,-0.09993079231475553,-0.004810257697304391,0.09993079231475553,0.004810257697304391,0.09512053461745114,False,True,3185,972
state_Wisconsin,-0.09628430160305028,-0.09307050357299212,0.09628430160305028,0.09307050357299212,0.0032137980300581542,False,True,3185,972
state_Nebraska,-0.09480962882202723,-0.05669177008089988,0.09480962882202723,0.05669177008089988,0.03811785874112735,False,True,3185,972
state_Utah,0.08958994222776231,0.06827011572080025,0.08958994222776231,0.06827011572080025,0.02131982650696207,False,True,3185,972
state_Maine,0.08449596606019943,0.0044193972319975326,0.08449596606019943,0.0044193972319975326,0.0800765688282019,False,True,3185,972
state_Maryland,-0.07366195945052154,0.008383024511492239,0.07366195945052154,0.008383024511492239,0.0652789349390293,False,True,3185,972
state_Illinois,-0.07349190774597486,0.12986175208677173,0.07349190774597486,0.12986175208677173,-0.056369844340796865,False,False,3185,972
